// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 1 benchmarks:
//   MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadActual  75: 1 op, 406028600.00 ns, 406.0286 ms/op
WorkloadActual  76: 1 op, 404260600.00 ns, 404.2606 ms/op
WorkloadActual  77: 1 op, 402864500.00 ns, 402.8645 ms/op
WorkloadActual  78: 1 op, 402671100.00 ns, 402.6711 ms/op
WorkloadActual  79: 1 op, 403487100.00 ns, 403.4871 ms/op
WorkloadActual  80: 1 op, 403150500.00 ns, 403.1505 ms/op
WorkloadActual  81: 1 op, 503880400.00 ns, 503.8804 ms/op
WorkloadActual  82: 1 op, 503688500.00 ns, 503.6885 ms/op
WorkloadActual  83: 1 op, 502464800.00 ns, 502.4648 ms/op
WorkloadActual  84: 1 op, 505298100.00 ns, 505.2981 ms/op
WorkloadActual  85: 1 op, 402240200.00 ns, 402.2402 ms/op
WorkloadActual  86: 1 op, 402922800.00 ns, 402.9228 ms/op
WorkloadActual  87: 1 op, 402899300.00 ns, 402.8993 ms/op
WorkloadActual  88: 1 op, 402518700.00 ns, 402.5187 ms/op
WorkloadActual  89: 1 op, 302934500.00 ns, 302.9345 ms/op
WorkloadActual  90: 1 op, 403301300.00 ns, 403.3013 ms/op
WorkloadActual  91: 1 op, 503836100.00 ns, 503.8361 ms/op
WorkloadActual  92: 1 op, 505160700.00 ns, 505.1607 ms/op
WorkloadActual  93: 1 op, 502974400.00 ns, 502.9744 ms/op
WorkloadActual  94: 1 op, 402925100.00 ns, 402.9251 ms/op
WorkloadActual  95: 1 op, 402639500.00 ns, 402.6395 ms/op
WorkloadActual  96: 1 op, 402226500.00 ns, 402.2265 ms/op
WorkloadActual  97: 1 op, 403614100.00 ns, 403.6141 ms/op
WorkloadActual  98: 1 op, 503023300.00 ns, 503.0233 ms/op
WorkloadActual  99: 1 op, 403190000.00 ns, 403.1900 ms/op
WorkloadActual  100: 1 op, 502991600.00 ns, 502.9916 ms/op

WorkloadResult   1: 1 op, 504816400.00 ns, 504.8164 ms/op
WorkloadResult   2: 1 op, 403975400.00 ns, 403.9754 ms/op
WorkloadResult   3: 1 op, 503927200.00 ns, 503.9272 ms/op
WorkloadResult   4: 1 op, 404383400.00 ns, 404.3834 ms/op
WorkloadResult   5: 1 op, 403905600.00 ns, 403.9056 ms/op
WorkloadResult   6: 1 op, 405436300.00 ns, 405.4363 ms/op
WorkloadResult   7: 1 op, 404300700.00 ns, 404.3007 ms/op
WorkloadResult   8: 1 op, 403248300.00 ns, 403.2483 ms/op
WorkloadResult   9: 1 op, 403509500.00 ns, 403.5095 ms/op
WorkloadResult  10: 1 op, 503248000.00 ns, 503.2480 ms/op
WorkloadResult  11: 1 op, 303758300.00 ns, 303.7583 ms/op
WorkloadResult  12: 1 op, 403245900.00 ns, 403.2459 ms/op
WorkloadResult  13: 1 op, 402991300.00 ns, 402.9913 ms/op
WorkloadResult  14: 1 op, 402644100.00 ns, 402.6441 ms/op
WorkloadResult  15: 1 op, 404017600.00 ns, 404.0176 ms/op
WorkloadResult  16: 1 op, 403498000.00 ns, 403.4980 ms/op
WorkloadResult  17: 1 op, 504266400.00 ns, 504.2664 ms/op
WorkloadResult  18: 1 op, 504865900.00 ns, 504.8659 ms/op
WorkloadResult  19: 1 op, 402717400.00 ns, 402.7174 ms/op
WorkloadResult  20: 1 op, 302838200.00 ns, 302.8382 ms/op
WorkloadResult  21: 1 op, 402569000.00 ns, 402.5690 ms/op
WorkloadResult  22: 1 op, 503427400.00 ns, 503.4274 ms/op
WorkloadResult  23: 1 op, 402428300.00 ns, 402.4283 ms/op
WorkloadResult  24: 1 op, 502428300.00 ns, 502.4283 ms/op
WorkloadResult  25: 1 op, 402248100.00 ns, 402.2481 ms/op
WorkloadResult  26: 1 op, 404215700.00 ns, 404.2157 ms/op
WorkloadResult  27: 1 op, 402683000.00 ns, 402.6830 ms/op
WorkloadResult  28: 1 op, 403963800.00 ns, 403.9638 ms/op
WorkloadResult  29: 1 op, 403667500.00 ns, 403.6675 ms/op
WorkloadResult  30: 1 op, 504098300.00 ns, 504.0983 ms/op
WorkloadResult  31: 1 op, 403645800.00 ns, 403.6458 ms/op
WorkloadResult  32: 1 op, 503226600.00 ns, 503.2266 ms/op
WorkloadResult  33: 1 op, 303129800.00 ns, 303.1298 ms/op
WorkloadResult  34: 1 op, 502512000.00 ns, 502.5120 ms/op
WorkloadResult  35: 1 op, 402850500.00 ns, 402.8505 ms/op
