// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 2 benchmarks:
//   AsyncMethods.EmptyAsyncMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   AsyncMethods.SingleYieldMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AsyncMethods.EmptyAsyncMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

WorkloadResult  47: 25600000 op, 499228200.00 ns, 19.5011 ns/op
WorkloadResult  48: 25600000 op, 495836900.00 ns, 19.3686 ns/op
WorkloadResult  49: 25600000 op, 499050800.00 ns, 19.4942 ns/op
WorkloadResult  50: 25600000 op, 490880600.00 ns, 19.1750 ns/op
WorkloadResult  51: 25600000 op, 493043700.00 ns, 19.2595 ns/op
GC:  0 0 0 0 0


Mean = 18.6519 ns, StdErr = 0.1052 ns (0.56%); N = 51, StdDev = 0.7511 ns
Min = 16.1161 ns, Q1 = 18.5077 ns, Median = 18.6743 ns, Q3 = 19.0887 ns, Max = 19.6754 ns
IQR = 0.5810 ns, LowerFence = 17.6362 ns, UpperFence = 19.9602 ns
ConfidenceInterval = [18.2842 ns; 19.0196 ns] (CI 99.9%), Margin = 0.3677 ns (1.97% of Mean)
Skewness = -1.98, Kurtosis = 7.27, MValue = 2

// **************************
// Benchmark: AsyncMethods.SingleYieldMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1000 op, 207900.00 ns, 207.9000 ns/op
WorkloadJitting  1: 1000 op, 12558500.00 ns, 12.5585 us/op

OverheadJitting  2: 16000 op, 637100.00 ns, 39.8188 ns/op
WorkloadJitting  2: 16000 op, 31040400.00 ns, 1.9400 us/op

WorkloadPilot    1: 16000 op, 28716900.00 ns, 1.7948 us/op
WorkloadPilot    2: 32000 op, 58370300.00 ns, 1.8241 us/op
WorkloadPilot    3: 64000 op, 106845800.00 ns, 1.6695 us/op
WorkloadPilot    4: 128000 op, 201229200.00 ns, 1.5721 us/op
WorkloadPilot    5: 256000 op, 434780400.00 ns, 1.6984 us/op
WorkloadPilot    6: 512000 op, 851789400.00 ns, 1.6637 us/op

OverheadWarmup   1: 512000 op, 11300.00 ns, 0.0221 ns/op
OverheadWarmup   2: 512000 op, 2200.00 ns, 0.0043 ns/op
OverheadWarmup   3: 512000 op, 5000.00 ns, 0.0098 ns/op
OverheadWarmup   4: 512000 op, 3400.00 ns, 0.0066 ns/op
OverheadWarmup   5: 512000 op, 2400.00 ns, 0.0047 ns/op
OverheadWarmup   6: 512000 op, 7700.00 ns, 0.0150 ns/op
OverheadWarmup   7: 512000 op, 3000.00 ns, 0.0059 ns/op

OverheadActual   1: 512000 op, 2800.00 ns, 0.0055 ns/op
OverheadActual   2: 512000 op, 6900.00 ns, 0.0135 ns/op
OverheadActual   3: 512000 op, 2900.00 ns, 0.0057 ns/op
OverheadActual   4: 512000 op, 3000.00 ns, 0.0059 ns/op
OverheadActual   5: 512000 op, 2400.00 ns, 0.0047 ns/op
OverheadActual   6: 512000 op, 8900.00 ns, 0.0174 ns/op
OverheadActual   7: 512000 op, 2000.00 ns, 0.0039 ns/op
OverheadActual   8: 512000 op, 2500.00 ns, 0.0049 ns/op
OverheadActual   9: 512000 op, 2900.00 ns, 0.0057 ns/op
OverheadActual  10: 512000 op, 3500.00 ns, 0.0068 ns/op
OverheadActual  11: 512000 op, 2400.00 ns, 0.0047 ns/op
OverheadActual  12: 512000 op, 9400.00 ns, 0.0184 ns/op
OverheadActual  13: 512000 op, 3800.00 ns, 0.0074 ns/op
OverheadActual  14: 512000 op, 2200.00 ns, 0.0043 ns/op
OverheadActual  15: 512000 op, 2600.00 ns, 0.0051 ns/op
OverheadActual  16: 512000 op, 2400.00 ns, 0.0047 ns/op
OverheadActual  17: 512000 op, 2500.00 ns, 0.0049 ns/op
OverheadActual  18: 512000 op, 2700.00 ns, 0.0053 ns/op
OverheadActual  19: 512000 op, 2500.00 ns, 0.0049 ns/op
OverheadActual  20: 512000 op, 2400.00 ns, 0.0047 ns/op

WorkloadWarmup   1: 512000 op, 855708800.00 ns, 1.6713 us/op
WorkloadWarmup   2: 512000 op, 778262300.00 ns, 1.5200 us/op
WorkloadWarmup   3: 512000 op, 746597300.00 ns, 1.4582 us/op
WorkloadWarmup   4: 512000 op, 730549600.00 ns, 1.4269 us/op
WorkloadWarmup   5: 512000 op, 731190000.00 ns, 1.4281 us/op
WorkloadWarmup   6: 512000 op, 715112100.00 ns, 1.3967 us/op
WorkloadWarmup   7: 512000 op, 682548900.00 ns, 1.3331 us/op
WorkloadWarmup   8: 512000 op, 738450000.00 ns, 1.4423 us/op
WorkloadWarmup   9: 512000 op, 730690000.00 ns, 1.4271 us/op

WorkloadActual   1: 512000 op, 713883500.00 ns, 1.3943 us/op
WorkloadActual   2: 512000 op, 677749700.00 ns, 1.3237 us/op
WorkloadActual   3: 512000 op, 692201500.00 ns, 1.3520 us/op
WorkloadActual   4: 512000 op, 694274900.00 ns, 1.3560 us/op
WorkloadActual   5: 512000 op, 717019600.00 ns, 1.4004 us/op
WorkloadActual   6: 512000 op, 749823500.00 ns, 1.4645 us/op
WorkloadActual   7: 512000 op, 716710800.00 ns, 1.3998 us/op
WorkloadActual   8: 512000 op, 729948000.00 ns, 1.4257 us/op
WorkloadActual   9: 512000 op, 664213400.00 ns, 1.2973 us/op
WorkloadActual  10: 512000 op, 702562700.00 ns, 1.3722 us/op
WorkloadActual  11: 512000 op, 677911100.00 ns, 1.3240 us/op
WorkloadActual  12: 512000 op, 690591300.00 ns, 1.3488 us/op
WorkloadActual  13: 512000 op, 716957200.00 ns, 1.4003 us/op
WorkloadActual  14: 512000 op, 670913500.00 ns, 1.3104 us/op
WorkloadActual  15: 512000 op, 663133500.00 ns, 1.2952 us/op
WorkloadActual  16: 512000 op, 668737800.00 ns, 1.3061 us/op
WorkloadActual  17: 512000 op, 670883500.00 ns, 1.3103 us/op
WorkloadActual  18: 512000 op, 668112000.00 ns, 1.3049 us/op
WorkloadActual  19: 512000 op, 675599200.00 ns, 1.3195 us/op
WorkloadActual  20: 512000 op, 706916900.00 ns, 1.3807 us/op
WorkloadActual  21: 512000 op, 663248100.00 ns, 1.2954 us/op
WorkloadActual  22: 512000 op, 672856600.00 ns, 1.3142 us/op
WorkloadActual  23: 512000 op, 702126600.00 ns, 1.3713 us/op
WorkloadActual  24: 512000 op, 788380800.00 ns, 1.5398 us/op
WorkloadActual  25: 512000 op, 682305300.00 ns, 1.3326 us/op
WorkloadActual  26: 512000 op, 712865100.00 ns, 1.3923 us/op
WorkloadActual  27: 512000 op, 713894700.00 ns, 1.3943 us/op
WorkloadActual  28: 512000 op, 695220600.00 ns, 1.3579 us/op
WorkloadActual  29: 512000 op, 681549100.00 ns, 1.3312 us/op
WorkloadActual  30: 512000 op, 689211200.00 ns, 1.3461 us/op
WorkloadActual  31: 512000 op, 685954600.00 ns, 1.3398 us/op
WorkloadActual  32: 512000 op, 695084000.00 ns, 1.3576 us/op
WorkloadActual  33: 512000 op, 677790600.00 ns, 1.3238 us/op
WorkloadActual  34: 512000 op, 655139000.00 ns, 1.2796 us/op
WorkloadActual  35: 512000 op, 698403900.00 ns, 1.3641 us/op

WorkloadResult   1: 512000 op, 713880850.00 ns, 1.3943 us/op
WorkloadResult   2: 512000 op, 677747050.00 ns, 1.3237 us/op
WorkloadResult   3: 512000 op, 692198850.00 ns, 1.3520 us/op
WorkloadResult   4: 512000 op, 694272250.00 ns, 1.3560 us/op
WorkloadResult   5: 512000 op, 717016950.00 ns, 1.4004 us/op
WorkloadResult   6: 512000 op, 749820850.00 ns, 1.4645 us/op
WorkloadResult   7: 512000 op, 716708150.00 ns, 1.3998 us/op
WorkloadResult   8: 512000 op, 729945350.00 ns, 1.4257 us/op
WorkloadResult   9: 512000 op, 664210750.00 ns, 1.2973 us/op
WorkloadResult  10: 512000 op, 702560050.00 ns, 1.3722 us/op
WorkloadResult  11: 512000 op, 677908450.00 ns, 1.3240 us/op
WorkloadResult  12: 512000 op, 690588650.00 ns, 1.3488 us/op
WorkloadResult  13: 512000 op, 716954550.00 ns, 1.4003 us/op
WorkloadResult  14: 512000 op, 670910850.00 ns, 1.3104 us/op
WorkloadResult  15: 512000 op, 663130850.00 ns, 1.2952 us/op
WorkloadResult  16: 512000 op, 668735150.00 ns, 1.3061 us/op
WorkloadResult  17: 512000 op, 670880850.00 ns, 1.3103 us/op
WorkloadResult  18: 512000 op, 668109350.00 ns, 1.3049 us/op
WorkloadResult  19: 512000 op, 675596550.00 ns, 1.3195 us/op
WorkloadResult  20: 512000 op, 706914250.00 ns, 1.3807 us/op
WorkloadResult  21: 512000 op, 663245450.00 ns, 1.2954 us/op
WorkloadResult  22: 512000 op, 672853950.00 ns, 1.3142 us/op
WorkloadResult  23: 512000 op, 702123950.00 ns, 1.3713 us/op
WorkloadResult  24: 512000 op, 682302650.00 ns, 1.3326 us/op
WorkloadResult  25: 512000 op, 712862450.00 ns, 1.3923 us/op
WorkloadResult  26: 512000 op, 713892050.00 ns, 1.3943 us/op
WorkloadResult  27: 512000 op, 695217950.00 ns, 1.3578 us/op
WorkloadResult  28: 512000 op, 681546450.00 ns, 1.3311 us/op
WorkloadResult  29: 512000 op, 689208550.00 ns, 1.3461 us/op
WorkloadResult  30: 512000 op, 685951950.00 ns, 1.3397 us/op
WorkloadResult  31: 512000 op, 695081350.00 ns, 1.3576 us/op
WorkloadResult  32: 512000 op, 677787950.00 ns, 1.3238 us/op
WorkloadResult  33: 512000 op, 655136350.00 ns, 1.2796 us/op
WorkloadResult  34: 512000 op, 698401250.00 ns, 1.3641 us/op
GC:  0 0 0 0 0


Mean = 1.3496 us, StdErr = 0.0073 us (0.54%); N = 34, StdDev = 0.0427 us
Min = 1.2796 us, Q1 = 1.3142 us, Median = 1.3475 us, Q3 = 1.3807 us, Max = 1.4645 us
IQR = 0.0665 us, LowerFence = 1.2144 us, UpperFence = 1.4805 us
ConfidenceInterval = [1.3231 us; 1.3760 us] (CI 99.9%), Margin = 0.0265 us (1.96% of Mean)
Skewness = 0.54, Kurtosis = 2.7, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-report.csv
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-report-github.md
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-report.html
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-measurements.csv
  BuildPlots.R
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-20190721-115721-boxplot.png
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.AsyncMethods-20190721-115721-barplot.png

// * Detailed results *
AsyncMethods.EmptyAsyncMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 18.6519 ns, StdErr = 0.1052 ns (0.56%); N = 51, StdDev = 0.7511 ns
Min = 16.1161 ns, Q1 = 18.5077 ns, Median = 18.6743 ns, Q3 = 19.0887 ns, Max = 19.6754 ns
IQR = 0.5810 ns, LowerFence = 17.6362 ns, UpperFence = 19.9602 ns
ConfidenceInterval = [18.2842 ns; 19.0196 ns] (CI 99.9%), Margin = 0.3677 ns (1.97% of Mean)
Skewness = -1.98, Kurtosis = 7.27, MValue = 2
-------------------- Histogram --------------------
[16.020 ns ; 16.375 ns) | @@@
[16.375 ns ; 16.729 ns) | 
[16.729 ns ; 17.208 ns) | @
[17.208 ns ; 17.563 ns) | 
[17.563 ns ; 17.917 ns) | 
[17.917 ns ; 18.390 ns) | @
[18.390 ns ; 19.034 ns) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[19.034 ns ; 19.751 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

AsyncMethods.SingleYieldMethodInvocation: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 1.3496 us, StdErr = 0.0073 us (0.54%); N = 34, StdDev = 0.0427 us
Min = 1.2796 us, Q1 = 1.3142 us, Median = 1.3475 us, Q3 = 1.3807 us, Max = 1.4645 us
IQR = 0.0665 us, LowerFence = 1.2144 us, UpperFence = 1.4805 us
ConfidenceInterval = [1.3231 us; 1.3760 us] (CI 99.9%), Margin = 0.0265 us (1.96% of Mean)
Skewness = 0.54, Kurtosis = 2.7, MValue = 2
-------------------- Histogram --------------------
[1.276 us ; 1.328 us) | @@@@@@@@@@@@@
[1.328 us ; 1.369 us) | @@@@@@@@@@
[1.369 us ; 1.404 us) | @@@@@@@@@
[1.404 us ; 1.440 us) | @
[1.440 us ; 1.476 us) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17763.615 (1809/October2018Update/Redstone5)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.2.301
  [Host] : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT

Toolchain=InProcessEmitToolchain  

|                      Method |        Mean |      Error |     StdDev |
|---------------------------- |------------:|-----------:|-----------:|
|  EmptyAsyncMethodInvocation |    18.65 ns |  0.3677 ns |  0.7511 ns |
| SingleYieldMethodInvocation | 1,349.59 ns | 26.4542 ns | 42.7186 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:02:13 (133.43 sec), executed benchmarks: 2

Global total time: 00:02:13 (133.68 sec), executed benchmarks: 2
// * Artifacts cleanup *
