// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.GetEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadActual  19: 2097152 op, 10259900.00 ns, 4.8923 ns/op
OverheadActual  20: 2097152 op, 10458100.00 ns, 4.9868 ns/op

WorkloadWarmup   1: 2097152 op, 602505000.00 ns, 287.2968 ns/op
WorkloadWarmup   2: 2097152 op, 543969500.00 ns, 259.3849 ns/op
WorkloadWarmup   3: 2097152 op, 516155900.00 ns, 246.1223 ns/op
WorkloadWarmup   4: 2097152 op, 518063600.00 ns, 247.0320 ns/op
WorkloadWarmup   5: 2097152 op, 514242000.00 ns, 245.2097 ns/op
WorkloadWarmup   6: 2097152 op, 517489500.00 ns, 246.7582 ns/op
WorkloadWarmup   7: 2097152 op, 516746700.00 ns, 246.4040 ns/op

WorkloadActual   1: 2097152 op, 521190800.00 ns, 248.5231 ns/op
WorkloadActual   2: 2097152 op, 544070900.00 ns, 259.4332 ns/op
WorkloadActual   3: 2097152 op, 533094900.00 ns, 254.1995 ns/op
WorkloadActual   4: 2097152 op, 532635700.00 ns, 253.9805 ns/op
WorkloadActual   5: 2097152 op, 552045900.00 ns, 263.2360 ns/op
WorkloadActual   6: 2097152 op, 627197300.00 ns, 299.0710 ns/op
WorkloadActual   7: 2097152 op, 613134500.00 ns, 292.3653 ns/op
WorkloadActual   8: 2097152 op, 520725400.00 ns, 248.3012 ns/op
WorkloadActual   9: 2097152 op, 551652000.00 ns, 263.0482 ns/op
WorkloadActual  10: 2097152 op, 529805800.00 ns, 252.6311 ns/op
WorkloadActual  11: 2097152 op, 514790600.00 ns, 245.4713 ns/op
WorkloadActual  12: 2097152 op, 545189800.00 ns, 259.9668 ns/op
WorkloadActual  13: 2097152 op, 550601600.00 ns, 262.5473 ns/op
WorkloadActual  14: 2097152 op, 535323300.00 ns, 255.2620 ns/op
WorkloadActual  15: 2097152 op, 522850300.00 ns, 249.3145 ns/op
WorkloadActual  16: 2097152 op, 538948200.00 ns, 256.9905 ns/op
WorkloadActual  17: 2097152 op, 526897300.00 ns, 251.2442 ns/op
WorkloadActual  18: 2097152 op, 562833600.00 ns, 268.3800 ns/op
WorkloadActual  19: 2097152 op, 536882200.00 ns, 256.0054 ns/op
WorkloadActual  20: 2097152 op, 524115900.00 ns, 249.9179 ns/op
WorkloadActual  21: 2097152 op, 530069400.00 ns, 252.7568 ns/op
WorkloadActual  22: 2097152 op, 520761500.00 ns, 248.3184 ns/op
WorkloadActual  23: 2097152 op, 515585200.00 ns, 245.8502 ns/op
WorkloadActual  24: 2097152 op, 515953500.00 ns, 246.0258 ns/op
WorkloadActual  25: 2097152 op, 514230300.00 ns, 245.2041 ns/op
WorkloadActual  26: 2097152 op, 519796500.00 ns, 247.8583 ns/op

WorkloadResult   1: 2097152 op, 510646600.00 ns, 243.4953 ns/op
WorkloadResult   2: 2097152 op, 533526700.00 ns, 254.4054 ns/op
WorkloadResult   3: 2097152 op, 522550700.00 ns, 249.1716 ns/op
WorkloadResult   4: 2097152 op, 522091500.00 ns, 248.9526 ns/op
WorkloadResult   5: 2097152 op, 541501700.00 ns, 258.2081 ns/op
WorkloadResult   6: 2097152 op, 510181200.00 ns, 243.2734 ns/op
